text_id,text,category,word_count,readability_score,keywords
text_54,Follow-up evaluation for heart showed persistent chest pain despite statins. Adjustments to the treatment regimen are recommended. Current management focuses on symptom control. Recent lab work showed improvement in relevant markers. Recent imaging studies were reviewed during the consultation. Risk factors for complications were discussed in detail. The patient's vital signs were within normal limits. Laboratory findings were unremarkable. Potential side effects of the medication were explained. The patient was advised to return if symptoms worsen. Differential diagnosis includes several possibilities. Lifestyle modifications were discussed with the patient. The patient reports gradual improvement with the current treatment. Previous treatments have been unsuccessful. Follow-up appointment was scheduled for next month. The patient's response to previous,Cardiovascular,114,62,"heart, statins, chest pain"
text_12,Patient presents with heart murmur and high blood pressure. Initial assessment indicates possible atherosclerosis. Further tests including heart transplant are recommended. Current management focuses on symptom control. Laboratory findings were unremarkable. Recent imaging studies were reviewed during the consultation. The patient was instructed on proper use of prescribed medications. Patient education materials were provided. Potential side effects of the medication were explained. Medication compliance has been an issue for this patient. The patient reports gradual improvement with the current treatment. The patient's response to previous interventions was evaluated. The patient was advised to return if symptoms worsen. Current management focuses on symptom control. Laboratory findings were unremarkable. The condition is consistent with hypertension. Recent,Cardiovascular,114,60,"atherosclerosis, heart murmur, heart transplant, high blood pressure, heart"
text_120,The patient reported persistent fatigue for the past 11 weeks. Clinical findings are consistent with atrial. Treatment plan includes calcium channel blockers and follow-up in 2 weeks. The patient's condition appears to be chronic in nature. The patient was referred to a specialist for further evaluation. The patient's response to previous interventions was evaluated. A comprehensive treatment plan was developed. Current management focuses on symptom control. Preventive measures were emphasized during the consultation. No significant family history was reported. Medication compliance has been an issue for this patient. The patient reports gradual improvement with the current treatment. Laboratory findings were unremarkable. The patient's condition appears to be chronic in nature. The patient was referred,Cardiovascular,114,61,"atrial, calcium channel blockers, fatigue"
text_546,A 67-year-old male with a history of pituitary was admitted complaining of mood changes and slow wound healing. The patient has been started on parathyroidectomy and insulin. Follow-up appointment was scheduled for next month. The patient's response to previous interventions was evaluated. The patient's vital signs were within normal limits. The patient reports gradual improvement with the current treatment. A comprehensive treatment plan was developed. Lifestyle modifications were discussed with the patient. The patient was referred to a specialist for further evaluation. Follow-up appointment was scheduled for next month. The condition is consistent with thyroid. The treatment plan includes exercise therapy. The patient's response to previous interventions was evaluated. The patient exhibited signs of,Endocrine,114,63,"parathyroidectomy, mood changes, thyroid, exercise therapy, pituitary"
text_511,A 61-year-old female with a history of diabetes was admitted complaining of dry skin and goiter. The patient has been started on corticosteroids and levothyroxine. Current management focuses on symptom control. The patient's response to previous interventions was evaluated. Preventive measures were emphasized during the consultation. The patient's vital signs were within normal limits. The patient was referred to a specialist for further evaluation. Recent imaging studies were reviewed during the consultation. No significant family history was reported. The patient exhibited signs of fatigue. Current management focuses on symptom control. The patient's response to previous interventions was evaluated. Preventive measures were emphasized during the consultation. The patient's vital signs were within normal limits. The,Endocrine,114,62,"corticosteroids, levothyroxine, goiter, fatigue, diabetes"
text_745,Physical examination revealed muscle spasms and stiffness. Patient was diagnosed with joint and prescribed bracing and tendon repair. Recent imaging studies were reviewed during the consultation. The patient denies any allergies to medications. Potential side effects of the medication were explained. The patient's condition appears to be chronic in nature. Risk factors for complications were discussed in detail. The treatment plan includes fracture reduction. The condition is consistent with muscular. Recent imaging studies were reviewed during the consultation. The treatment plan includes casting. The patient denies any allergies to medications. Potential side effects of the medication were explained. The patient's condition appears to be chronic in nature. The treatment plan includes tendon repair. Risk,Musculoskeletal,114,59,"stiffness, muscle spasms, bracing, casting, fracture"
text_6,"A case of hypertension presenting with classic symptoms of irregular heartbeat, syncope, and fainting. The patient responded well to statins. No significant family history was reported. The patient was referred to a specialist for further evaluation. The patient denies any allergies to medications. Long-term prognosis was discussed with the patient. Medication compliance has been an issue for this patient. Patient education materials were provided. The patient was instructed on proper use of prescribed medications. Preventive measures were emphasized during the consultation. Differential diagnosis includes several possibilities. Recent lab work showed improvement in relevant markers. Laboratory findings were unremarkable. The patient's symptoms have been progressively worsening. A comprehensive treatment plan was developed. Lifestyle modifications were",Cardiovascular,114,61,"syncope, heart, statins, irregular heartbeat, fainting"
text_507,Patient presents with blurred vision and goiter. Initial assessment indicates possible hyperthyroidism. Further tests including adrenalectomy are recommended. The patient's response to previous interventions was evaluated. The patient was advised to return if symptoms worsen. Preventive measures were emphasized during the consultation. Laboratory findings were unremarkable. Previous treatments have been unsuccessful. The patient exhibited signs of blurred vision. The condition is consistent with hypoglycemia. The patient's response to previous interventions was evaluated. The patient was advised to return if symptoms worsen. Preventive measures were emphasized during the consultation. Laboratory findings were unremarkable. The treatment plan includes estrogen. Previous treatments have been unsuccessful. The condition is consistent with thyroid.,Endocrine,108,60,"hyperthyroidism, thyroid, hypoglycemia, adrenalectomy, goiter"
text_868,Patient presents with redness and blisters. Initial assessment indicates possible subcutaneous. Further tests including moisturizers are recommended. The patient reports gradual improvement with the current treatment. The patient's response to previous interventions was evaluated. The patient's condition appears to be chronic in nature. The patient was referred to a specialist for further evaluation. The patient was instructed on proper use of prescribed medications. Preventive measures were emphasized during the consultation. Recent lab work showed improvement in relevant markers. The patient was advised to return if symptoms worsen. Recent imaging studies were reviewed during the consultation. Long-term prognosis was discussed with the patient. No significant family history was reported. Previous treatments have been unsuccessful. The,Dermatological,114,61,"subcutaneous, moisturizers, cutaneous, redness, blisters"
text_682,"A case of bursitis presenting with classic symptoms of weakness, crepitus, and arthralgia. The patient responded well to traction. Current management focuses on symptom control. Laboratory findings were unremarkable. The patient reports gradual improvement with the current treatment. No significant family history was reported. The patient's response to previous interventions was evaluated. Recent lab work showed improvement in relevant markers. A comprehensive treatment plan was developed. The patient's vital signs were within normal limits. Long-term prognosis was discussed with the patient. Recent imaging studies were reviewed during the consultation. Risk factors for complications were discussed in detail. The patient's symptoms have been progressively worsening. Preventive measures were emphasized during the consultation. The patient's condition",Musculoskeletal,114,61,"weakness, bursitis, arthralgia, traction, crepitus"
text_112,"A 34-year-old female presents with irregular heartbeat and cyanosis. After thorough examination, infarction was diagnosed. Treatment with aspirin was started immediately. Potential side effects of the medication were explained. The patient's condition appears to be chronic in nature. No significant family history was reported. The patient denies any allergies to medications. Differential diagnosis includes several possibilities. Medication compliance has been an issue for this patient. Potential side effects of the medication were explained. The patient's condition appears to be chronic in nature. No significant family history was reported. The condition is consistent with ischemia. The patient denies any allergies to medications. The condition is consistent with atrial. Differential diagnosis includes several possibilities. The condition",Cardiovascular,114,59,"cyanosis, heart, ischemia, infarction, atrial"
text_180,The patient reported persistent wheezing for the past 3 weeks. Clinical findings are consistent with pleurisy. Treatment plan includes lung transplant and follow-up in 2 weeks. No significant family history was reported. Recent imaging studies were reviewed during the consultation. Laboratory findings were unremarkable. The patient's condition appears to be chronic in nature. A comprehensive treatment plan was developed. Follow-up appointment was scheduled for next month. The patient's symptoms have been progressively worsening. The patient denies any allergies to medications. Patient education materials were provided. The patient was instructed on proper use of prescribed medications. The patient was referred to a specialist for further evaluation. Preventive measures were emphasized during the consultation. The patient,Respiratory,114,60,"wheezing, lung, lung transplant, pleurisy"
text_90,A 58-year-old female with a history of myocardial was admitted complaining of fainting and angina. The patient has been started on bypass surgery and bypass surgery. Medication compliance has been an issue for this patient. The patient's condition appears to be chronic in nature. Differential diagnosis includes several possibilities. The patient was referred to a specialist for further evaluation. The patient denies any allergies to medications. Previous treatments have been unsuccessful. The patient was advised to return if symptoms worsen. Laboratory findings were unremarkable. The patient's symptoms have been progressively worsening. Risk factors for complications were discussed in detail. Medication compliance has been an issue for this patient. The patient's condition appears to be,Cardiovascular,114,63,"angina, myocardial, fainting, bypass surgery"
text_736,Initial presentation with muscle spasms led to diagnostic workup revealing tendon. Standard treatment protocol with tendon repair was followed. Long-term prognosis was discussed with the patient. The patient was instructed on proper use of prescribed medications. Recent imaging studies were reviewed during the consultation. The patient was advised to return if symptoms worsen. Follow-up appointment was scheduled for next month. The patient's condition appears to be chronic in nature. The patient denies any allergies to medications. A comprehensive treatment plan was developed. Current management focuses on symptom control. The patient reports gradual improvement with the current treatment. The treatment plan includes NSAIDs. Long-term prognosis was discussed with the patient. The patient was instructed on,Musculoskeletal,114,61,"tendon repair, NSAIDs, muscle spasms, tendon"
text_637,Follow-up evaluation for joint showed persistent stiffness despite NSAIDs. Adjustments to the treatment regimen are recommended. Patient education materials were provided. The patient was instructed on proper use of prescribed medications. Laboratory findings were unremarkable. A comprehensive treatment plan was developed. Recent lab work showed improvement in relevant markers. The patient was advised to return if symptoms worsen. Current management focuses on symptom control. Previous treatments have been unsuccessful. The patient reports gradual improvement with the current treatment. Differential diagnosis includes several possibilities. The patient was referred to a specialist for further evaluation. The patient's condition appears to be chronic in nature. Preventive measures were emphasized during the consultation. Patient education materials were provided.,Musculoskeletal,114,62,"stiffness, NSAIDs, joint"
text_302,The patient reported persistent tenesmus for the past 8 weeks. Clinical findings are consistent with peptic ulcer. Treatment plan includes proton pump inhibitors and follow-up in 2 weeks. A comprehensive treatment plan was developed. Preventive measures were emphasized during the consultation. Differential diagnosis includes several possibilities. Medication compliance has been an issue for this patient. Long-term prognosis was discussed with the patient. Laboratory findings were unremarkable. The patient reports gradual improvement with the current treatment. Potential side effects of the medication were explained. Previous treatments have been unsuccessful. Lifestyle modifications were discussed with the patient. Follow-up appointment was scheduled for next month. The condition is consistent with hepatic. A comprehensive treatment plan was developed.,Gastrointestinal,114,61,"tenesmus, hepatic, proton pump inhibitors, peptic ulcer"
text_699,Medical history significant for spinal and arthritis. Current symptoms include stiffness and deformity. Recommended management includes muscle relaxants and monitoring for complications. The patient was instructed on proper use of prescribed medications. The patient was advised to return if symptoms worsen. Preventive measures were emphasized during the consultation. Previous treatments have been unsuccessful. The patient's condition appears to be chronic in nature. Long-term prognosis was discussed with the patient. Risk factors for complications were discussed in detail. Recent lab work showed improvement in relevant markers. No significant family history was reported. Medication compliance has been an issue for this patient. The patient's symptoms have been progressively worsening. Differential diagnosis includes several possibilities. Patient education,Musculoskeletal,114,62,"stiffness, deformity, muscle relaxants, arthritis, spinal"
text_782,The patient's condition was characterized by itching and laboratory evidence of dermal. Treatment with phototherapy was initiated with good clinical response. The patient denies any allergies to medications. Medication compliance has been an issue for this patient. The patient's condition appears to be chronic in nature. Previous treatments have been unsuccessful. Patient education materials were provided. Potential side effects of the medication were explained. Recent lab work showed improvement in relevant markers. Laboratory findings were unremarkable. The patient's vital signs were within normal limits. Lifestyle modifications were discussed with the patient. Long-term prognosis was discussed with the patient. Recent imaging studies were reviewed during the consultation. Differential diagnosis includes several possibilities. Preventive measures were,Dermatological,114,61,"phototherapy, itching, dermal"
text_30,The patient's condition was characterized by edema and laboratory evidence of ischemia. Treatment with cardioversion was initiated with good clinical response. The patient was referred to a specialist for further evaluation. The patient's response to previous interventions was evaluated. Previous treatments have been unsuccessful. A comprehensive treatment plan was developed. Differential diagnosis includes several possibilities. The patient was advised to return if symptoms worsen. Laboratory findings were unremarkable. No significant family history was reported. Recent imaging studies were reviewed during the consultation. The patient's condition appears to be chronic in nature. The patient was referred to a specialist for further evaluation. The patient's response to previous interventions was evaluated. The patient exhibited signs of,Cardiovascular,114,63,"edema, ischemia, cardioversion"
text_521,Physical examination revealed fatigue and polyuria. Patient was diagnosed with adrenal and prescribed corticosteroids and estrogen. Recent lab work showed improvement in relevant markers. The patient was advised to return if symptoms worsen. The patient was instructed on proper use of prescribed medications. The patient's condition appears to be chronic in nature. A comprehensive treatment plan was developed. The patient's symptoms have been progressively worsening. The patient denies any allergies to medications. Potential side effects of the medication were explained. The patient's vital signs were within normal limits. The patient's response to previous interventions was evaluated. No significant family history was reported. Recent lab work showed improvement in relevant markers. The condition is consistent,Endocrine,114,61,"corticosteroids, adrenal, estrogen, fatigue, polyuria"
text_444,Follow-up evaluation for cortical showed persistent numbness despite dopamine agonists. Adjustments to the treatment regimen are recommended. The patient was advised to return if symptoms worsen. Previous treatments have been unsuccessful. Potential side effects of the medication were explained. The patient's symptoms have been progressively worsening. Risk factors for complications were discussed in detail. The treatment plan includes speech therapy. The condition is consistent with peripheral. The patient exhibited signs of dysphagia. The patient was advised to return if symptoms worsen. Previous treatments have been unsuccessful. The patient exhibited signs of headache. Potential side effects of the medication were explained. The patient's symptoms have been progressively worsening. The patient exhibited signs of diplopia. The,Neurological,114,59,"peripheral, numbness, cortical, headache, dopamine agonists"
text_14,Patient presents with fatigue and irregular heartbeat. Initial assessment indicates possible hypertension. Further tests including ACE inhibitors are recommended. The patient's response to previous interventions was evaluated. Patient education materials were provided. The patient's vital signs were within normal limits. Laboratory findings were unremarkable. Potential side effects of the medication were explained. The patient was referred to a specialist for further evaluation. Follow-up appointment was scheduled for next month. The patient's response to previous interventions was evaluated. Patient education materials were provided. The treatment plan includes pacemaker. The patient's vital signs were within normal limits. The patient exhibited signs of irregular heartbeat. The treatment plan includes bypass surgery. Laboratory findings were unremarkable. Potential side,Cardiovascular,114,59,"ACE inhibitors, pacemaker, bypass surgery, heart, fatigue"
text_8,Initial presentation with angina led to diagnostic workup revealing heart. Standard treatment protocol with beta blockers was followed. Follow-up appointment was scheduled for next month. No significant family history was reported. The patient was instructed on proper use of prescribed medications. The patient denies any allergies to medications. Long-term prognosis was discussed with the patient. Current management focuses on symptom control. A comprehensive treatment plan was developed. The patient was referred to a specialist for further evaluation. The patient reports gradual improvement with the current treatment. Laboratory findings were unremarkable. The patient's condition appears to be chronic in nature. Recent imaging studies were reviewed during the consultation. Recent lab work showed improvement in relevant,Cardiovascular,114,62,"angina, heart, beta blockers"
text_556,Physical examination revealed frequent urination and increased thirst. Patient was diagnosed with hypoglycemia and prescribed radioactive iodine and dietary management. The patient was instructed on proper use of prescribed medications. The patient denies any allergies to medications. Potential side effects of the medication were explained. Medication compliance has been an issue for this patient. No significant family history was reported. Patient education materials were provided. Differential diagnosis includes several possibilities. The treatment plan includes pituitary surgery. The patient was instructed on proper use of prescribed medications. The patient denies any allergies to medications. Potential side effects of the medication were explained. The patient exhibited signs of polydipsia. The treatment plan includes exercise therapy. Medication,Endocrine,114,61,"frequent urination, exercise therapy, pituitary, pituitary surgery, dietary management"
text_970,Initial presentation with night sweats led to diagnostic workup revealing malaria. Standard treatment protocol with immunization was followed. No significant family history was reported. Follow-up appointment was scheduled for next month. The patient denies any allergies to medications. Lifestyle modifications were discussed with the patient. Recent lab work showed improvement in relevant markers. The patient was advised to return if symptoms worsen. Previous treatments have been unsuccessful. Patient education materials were provided. A comprehensive treatment plan was developed. The patient exhibited signs of swollen lymph nodes. No significant family history was reported. Follow-up appointment was scheduled for next month. The treatment plan includes antifungals. The treatment plan includes antifungals. The condition is consistent with,Infectious,114,59,"antifungals, immunization, malaria, night sweats, fungal"
text_188,The patient's condition was characterized by rhinitis and laboratory evidence of asthma. Treatment with lung transplant was initiated with good clinical response. Differential diagnosis includes several possibilities. The patient was referred to a specialist for further evaluation. Recent lab work showed improvement in relevant markers. Lifestyle modifications were discussed with the patient. Recent imaging studies were reviewed during the consultation. No significant family history was reported. The patient was advised to return if symptoms worsen. Differential diagnosis includes several possibilities. The patient was referred to a specialist for further evaluation. The condition is consistent with asthma. The patient exhibited signs of cough. Recent lab work showed improvement in relevant markers. The patient exhibited signs,Respiratory,114,62,"lung, lung transplant, asthma, cough, rhinitis"
text_677,"A case of cartilage presenting with classic symptoms of swelling, muscle spasms, and crepitus. The patient responded well to orthotics. The patient's response to previous interventions was evaluated. Current management focuses on symptom control. Patient education materials were provided. The patient's condition appears to be chronic in nature. The patient reports gradual improvement with the current treatment. The treatment plan includes traction. The patient's response to previous interventions was evaluated. Current management focuses on symptom control. The patient exhibited signs of redness. The condition is consistent with fracture. Patient education materials were provided. The patient's condition appears to be chronic in nature. The condition is consistent with scoliosis. The patient reports gradual improvement with",Musculoskeletal,114,60,"cartilage, swelling, muscle spasms, scoliosis, orthotics"
text_496,"A 39-year-old male presents with diplopia and diplopia. After thorough examination, neuropathy was diagnosed. Treatment with vagus nerve stimulation was started immediately. Patient education materials were provided. Medication compliance has been an issue for this patient. The patient's symptoms have been progressively worsening. The patient was referred to a specialist for further evaluation. Differential diagnosis includes several possibilities. No significant family history was reported. The patient denies any allergies to medications. Lifestyle modifications were discussed with the patient. Previous treatments have been unsuccessful. The patient reports gradual improvement with the current treatment. The patient was advised to return if symptoms worsen. A comprehensive treatment plan was developed. Follow-up appointment was scheduled for next month.",Neurological,114,62,"neuropathy, diplopia, vagus nerve stimulation"
text_369,A 57-year-old female with a history of intestinal was admitted complaining of steatorrhea and indigestion. The patient has been started on colonoscopy and cholecystectomy. Recent lab work showed improvement in relevant markers. Laboratory findings were unremarkable. Current management focuses on symptom control. Recent imaging studies were reviewed during the consultation. A comprehensive treatment plan was developed. Previous treatments have been unsuccessful. The patient's symptoms have been progressively worsening. The patient was advised to return if symptoms worsen. Medication compliance has been an issue for this patient. Follow-up appointment was scheduled for next month. Preventive measures were emphasized during the consultation. The patient reports gradual improvement with the current treatment. The patient's response to previous,Gastrointestinal,114,63,"intestinal, steatorrhea, indigestion, colonoscopy, cholecystectomy"
text_18,The patient reported persistent heart murmur for the past 2 weeks. Clinical findings are consistent with hypertension. Treatment plan includes bypass surgery and follow-up in 2 weeks. The patient's response to previous interventions was evaluated. Medication compliance has been an issue for this patient. The patient's vital signs were within normal limits. Potential side effects of the medication were explained. Recent lab work showed improvement in relevant markers. Laboratory findings were unremarkable. Current management focuses on symptom control. Lifestyle modifications were discussed with the patient. The patient's condition appears to be chronic in nature. The patient was advised to return if symptoms worsen. Previous treatments have been unsuccessful. The patient denies any allergies to,Cardiovascular,114,61,"heart, heart murmur, hypertension, bypass surgery"
text_569,A 47-year-old female with a history of hormone was admitted complaining of slow wound healing and heat or cold intolerance. The patient has been started on radioactive iodine and hormone replacement therapy. Risk factors for complications were discussed in detail. Medication compliance has been an issue for this patient. The patient was advised to return if symptoms worsen. The patient's vital signs were within normal limits. The patient denies any allergies to medications. The patient was referred to a specialist for further evaluation. The patient reports gradual improvement with the current treatment. Follow-up appointment was scheduled for next month. The patient's symptoms have been progressively worsening. No significant family history was reported. Differential diagnosis,Endocrine,114,65,"slow wound healing, hormone replacement therapy, hormone, heat or cold intolerance, radioactive iodine"
text_856,"A 79-year-old male presents with scales and pruritus. After thorough examination, cutaneous was diagnosed. Treatment with topical corticosteroids was started immediately. The patient was advised to return if symptoms worsen. Recent imaging studies were reviewed during the consultation. Follow-up appointment was scheduled for next month. The patient reports gradual improvement with the current treatment. Current management focuses on symptom control. Long-term prognosis was discussed with the patient. A comprehensive treatment plan was developed. Lifestyle modifications were discussed with the patient. Differential diagnosis includes several possibilities. The patient's symptoms have been progressively worsening. The patient's condition appears to be chronic in nature. The patient was advised to return if symptoms worsen. Recent imaging studies were",Dermatological,114,61,"topical corticosteroids, cutaneous, scales, pruritus"
text_368,Follow-up evaluation for hepatic showed persistent bloody stool despite digestive enzymes. Adjustments to the treatment regimen are recommended. Medication compliance has been an issue for this patient. Differential diagnosis includes several possibilities. Current management focuses on symptom control. Risk factors for complications were discussed in detail. The patient was instructed on proper use of prescribed medications. Recent imaging studies were reviewed during the consultation. The patient's condition appears to be chronic in nature. Laboratory findings were unremarkable. Medication compliance has been an issue for this patient. Differential diagnosis includes several possibilities. The patient exhibited signs of nausea. Current management focuses on symptom control. Risk factors for complications were discussed in detail. The patient was,Gastrointestinal,114,61,"digestive enzymes, hepatic, bloody stool, nausea"
text_626,Follow-up evaluation for scoliosis showed persistent redness despite tendon repair. Adjustments to the treatment regimen are recommended. Preventive measures were emphasized during the consultation. Medication compliance has been an issue for this patient. Recent imaging studies were reviewed during the consultation. Risk factors for complications were discussed in detail. The patient denies any allergies to medications. Current management focuses on symptom control. Potential side effects of the medication were explained. Recent lab work showed improvement in relevant markers. Differential diagnosis includes several possibilities. The patient reports gradual improvement with the current treatment. Laboratory findings were unremarkable. The patient's vital signs were within normal limits. The patient's symptoms have been progressively worsening. Preventive measures were,Musculoskeletal,114,62,"tendon repair, redness, scoliosis, tendon"
text_416,"A 88-year-old male presents with seizure and dizziness. After thorough examination, meningeal was diagnosed. Treatment with NSAIDs was started immediately. The patient's response to previous interventions was evaluated. Medication compliance has been an issue for this patient. The patient reports gradual improvement with the current treatment. Follow-up appointment was scheduled for next month. Preventive measures were emphasized during the consultation. A comprehensive treatment plan was developed. No significant family history was reported. Recent imaging studies were reviewed during the consultation. Long-term prognosis was discussed with the patient. The patient's symptoms have been progressively worsening. The patient's condition appears to be chronic in nature. The condition is consistent with Alzheimer's disease. The patient exhibited signs",Neurological,114,61,"meningeal, dizziness, seizure, Alzheimer's disease, NSAIDs"
text_175,Initial presentation with chest tightness led to diagnostic workup revealing emphysema. Standard treatment protocol with oxygen therapy was followed. The patient was instructed on proper use of prescribed medications. Current management focuses on symptom control. No significant family history was reported. Laboratory findings were unremarkable. Risk factors for complications were discussed in detail. Lifestyle modifications were discussed with the patient. Potential side effects of the medication were explained. Differential diagnosis includes several possibilities. Medication compliance has been an issue for this patient. The patient's response to previous interventions was evaluated. The patient was instructed on proper use of prescribed medications. The treatment plan includes lung transplant. Current management focuses on symptom control. The condition,Respiratory,114,62,"lung, emphysema, lung transplant, chest tightness, oxygen therapy"
text_225,"A case of respiratory presenting with classic symptoms of phlegm, rhinitis, and sore throat. The patient responded well to bronchodilators. The patient's symptoms have been progressively worsening. Patient education materials were provided. The patient's response to previous interventions was evaluated. Current management focuses on symptom control. Risk factors for complications were discussed in detail. A comprehensive treatment plan was developed. The patient was referred to a specialist for further evaluation. Lifestyle modifications were discussed with the patient. Recent imaging studies were reviewed during the consultation. The patient was instructed on proper use of prescribed medications. Medication compliance has been an issue for this patient. The patient reports gradual improvement with the current treatment. Preventive",Respiratory,114,62,"sore throat, respiratory, bronchodilators, phlegm, rhinitis"
text_642,"A 77-year-old male presents with edema and neck pain. After thorough examination, bursitis was diagnosed. Treatment with occupational therapy was started immediately. The patient's vital signs were within normal limits. The patient was advised to return if symptoms worsen. Recent imaging studies were reviewed during the consultation. Patient education materials were provided. Potential side effects of the medication were explained. Lifestyle modifications were discussed with the patient. Differential diagnosis includes several possibilities. The patient's response to previous interventions was evaluated. The patient's condition appears to be chronic in nature. The patient was instructed on proper use of prescribed medications. The patient denies any allergies to medications. The patient's vital signs were within normal limits.",Musculoskeletal,114,62,"edema, bursitis, neck pain, occupational therapy"
text_4,"A 38-year-old female presents with syncope and high blood pressure. After thorough examination, heart was diagnosed. Treatment with anticoagulants was started immediately. The patient reports gradual improvement with the current treatment. Long-term prognosis was discussed with the patient. A comprehensive treatment plan was developed. The patient's condition appears to be chronic in nature. The patient was instructed on proper use of prescribed medications. Differential diagnosis includes several possibilities. The condition is consistent with infarction. The patient reports gradual improvement with the current treatment. The condition is consistent with infarction. Long-term prognosis was discussed with the patient. A comprehensive treatment plan was developed. The patient's condition appears to be chronic in nature. The patient exhibited",Cardiovascular,114,61,"syncope, anticoagulants, high blood pressure, heart, infarction"
text_613,Initial presentation with hirsutism led to diagnostic workup revealing metabolic. Standard treatment protocol with dietary management was followed. Recent imaging studies were reviewed during the consultation. Follow-up appointment was scheduled for next month. The patient was instructed on proper use of prescribed medications. The patient denies any allergies to medications. The patient reports gradual improvement with the current treatment. Differential diagnosis includes several possibilities. A comprehensive treatment plan was developed. Current management focuses on symptom control. Recent imaging studies were reviewed during the consultation. The condition is consistent with Cushing's syndrome. Follow-up appointment was scheduled for next month. The treatment plan includes thyroidectomy. The patient was instructed on proper use of prescribed medications. The,Endocrine,114,62,"thyroid, metabolic, thyroidectomy, hirsutism, dietary management"
text_304,Patient presents with constipation and abdominal pain. Initial assessment indicates possible bowel. Further tests including endoscopy are recommended. The patient's vital signs were within normal limits. The patient denies any allergies to medications. Recent lab work showed improvement in relevant markers. Laboratory findings were unremarkable. Potential side effects of the medication were explained. Recent imaging studies were reviewed during the consultation. Differential diagnosis includes several possibilities. Medication compliance has been an issue for this patient. Lifestyle modifications were discussed with the patient. The patient reports gradual improvement with the current treatment. No significant family history was reported. The patient's symptoms have been progressively worsening. Patient education materials were provided. Follow-up appointment was scheduled for,Gastrointestinal,114,61,"constipation, abdominal pain, bowel, endoscopy"
text_289,The patient's condition was characterized by bloating and laboratory evidence of peptic ulcer. Treatment with proton pump inhibitors was initiated with good clinical response. Follow-up appointment was scheduled for next month. Risk factors for complications were discussed in detail. Laboratory findings were unremarkable. The patient denies any allergies to medications. Previous treatments have been unsuccessful. A comprehensive treatment plan was developed. The patient's vital signs were within normal limits. Recent imaging studies were reviewed during the consultation. The patient's response to previous interventions was evaluated. The treatment plan includes appendectomy. The condition is consistent with cirrhosis. The patient exhibited signs of constipation. The condition is consistent with peptic ulcer. Follow-up appointment was scheduled for,Gastrointestinal,114,61,"cirrhosis, peptic ulcer, proton pump inhibitors, constipation, appendectomy"
text_878,"A 61-year-old female presents with rash and muscle aches. After thorough examination, pneumonia was diagnosed. Treatment with immunization was started immediately. The patient's symptoms have been progressively worsening. Laboratory findings were unremarkable. Recent lab work showed improvement in relevant markers. Current management focuses on symptom control. The patient's vital signs were within normal limits. Previous treatments have been unsuccessful. The patient was referred to a specialist for further evaluation. Lifestyle modifications were discussed with the patient. The patient exhibited signs of headache. The patient's symptoms have been progressively worsening. Laboratory findings were unremarkable. Recent lab work showed improvement in relevant markers. Current management focuses on symptom control. The patient's vital signs were within normal",Infectious,114,60,"rash, immunization, headache, pneumonia, muscle aches"
text_413,"A case of brain presenting with classic symptoms of paresthesia, seizure, and aphasia. The patient responded well to antipsychotics. Medication compliance has been an issue for this patient. The patient's response to previous interventions was evaluated. Recent lab work showed improvement in relevant markers. Differential diagnosis includes several possibilities. Risk factors for complications were discussed in detail. Long-term prognosis was discussed with the patient. The patient's symptoms have been progressively worsening. A comprehensive treatment plan was developed. Medication compliance has been an issue for this patient. The patient's response to previous interventions was evaluated. Recent lab work showed improvement in relevant markers. The treatment plan includes vagus nerve stimulation. The patient exhibited signs of",Neurological,114,62,"vagus nerve stimulation, aphasia, seizure, brain, paresthesia"
text_616,Medical history significant for endocrine and hyperthyroidism. Current symptoms include slow wound healing and slow wound healing. Recommended management includes thyroidectomy and monitoring for complications. Previous treatments have been unsuccessful. The patient reports gradual improvement with the current treatment. Recent imaging studies were reviewed during the consultation. Recent lab work showed improvement in relevant markers. The patient's condition appears to be chronic in nature. The patient's vital signs were within normal limits. Differential diagnosis includes several possibilities. Laboratory findings were unremarkable. The condition is consistent with hormone. Previous treatments have been unsuccessful. The patient reports gradual improvement with the current treatment. The condition is consistent with acromegaly. Recent imaging studies were reviewed during the,Endocrine,114,63,"hyperthyroidism, thyroid, slow wound healing, acromegaly, thyroidectomy"
text_862,"A case of rosacea presenting with classic symptoms of pustules, itching, and redness. The patient responded well to cryotherapy. Patient education materials were provided. Preventive measures were emphasized during the consultation. The patient was referred to a specialist for further evaluation. Recent imaging studies were reviewed during the consultation. A comprehensive treatment plan was developed. Differential diagnosis includes several possibilities. The patient denies any allergies to medications. Recent lab work showed improvement in relevant markers. Laboratory findings were unremarkable. Medication compliance has been an issue for this patient. The treatment plan includes antihistamines. Patient education materials were provided. Preventive measures were emphasized during the consultation. The patient was referred to a specialist for further",Dermatological,114,61,"cryotherapy, antihistamines, rosacea, pustules, redness"
text_475,"A case of spinal presenting with classic symptoms of aphasia, seizure, and aphasia. The patient responded well to neurosurgery. Preventive measures were emphasized during the consultation. The patient's vital signs were within normal limits. Current management focuses on symptom control. The patient denies any allergies to medications. Recent lab work showed improvement in relevant markers. The patient reports gradual improvement with the current treatment. Recent imaging studies were reviewed during the consultation. Potential side effects of the medication were explained. The patient exhibited signs of paresthesia. The treatment plan includes SSRIs. Preventive measures were emphasized during the consultation. The patient's vital signs were within normal limits. Current management focuses on symptom control. The patient",Neurological,114,60,"SSRIs, neurosurgery, aphasia, seizure, paresthesia"
